ID_Job_Ref;ID_Job_Title;salary_usd;ID_salary_currency;ID_experience_level;ID_employment_type;company_location;ID_company_size;employee_residence;miran;required_skills;ID_education_required;years_experience;ID_industry;posting_date;application_deadline;job_description_length;benefits_score;ID_company_name
AI00001;4;90376;3;1;1;China;2;China;2;Tableau, PyTorch, Kubernetes, Linux, NLP;2;9;2;18/10/2024;7/11/2024;1076;5.9;4
AI00002;5;61895;3;2;2;Canada;2;Ireland;3;Deep Learning, AWS, Mathematics, Python, Docker;3;1;3;20/11/2024;11/1/2025;1268;5.2;10
AI00003;6;152626;3;3;2;Switzerland;1;South Korea;1;Kubernetes, Deep Learning, Java, Hadoop, NLP;1;2;4;18/3/2025;7/4/2025;1974;9.4;1
AI00004;17;80215;1;1;4;India;2;India;2;Scala, SQL, Linux, Python;4;7;2;23/12/2024;24/2/2025;1345;8.6;12
AI00005;2;54624;1;3;1;France;3;Singapore;3;MLOps, Java, Tableau, Python;3;0;5;15/4/2025;23/6/2025;1989;6.6;7
AI00006;1;123574;2;2;2;Germany;2;Germany;2;Data Visualization, R, SQL, Linux;1;7;6;31/8/2024;4/10/2024;819;5.9;5
AI00007;18;79670;1;1;2;United Kingdom;3;United Kingdom;1;R, Docker, MLOps;1;3;5;29/12/2024;28/2/2025;1936;6.3;14
AI00008;17;70640;3;3;1;France;1;France;1;Python, SQL, Computer Vision, Java, Azure;3;0;7;7/6/2024;1/7/2024;1286;7.6;5
AI00009;9;160710;3;3;4;Singapore;1;Singapore;1;Hadoop, Git, Mathematics, Python;4;7;7;4/11/2024;24/11/2024;551;9.3;15
AI00010;5;102557;3;3;4;Austria;2;Austria;1;MLOps, GCP, Scala, Azure, Linux;3;5;8;20/10/2024;6/11/2024;2340;5.8;16
AI00011;7;102322;3;4;1;Sweden;2;Sweden;3;MLOps, Python, SQL;1;8;9;29/1/2025;5/3/2025;1047;9.9;13
AI00012;1;115047;1;3;1;South Korea;3;South Korea;1;R, Data Visualization, Python, Azure;3;15;1;16/7/2024;19/8/2024;513;6.8;5
AI00013;2;124355;3;1;1;France;2;France;3;Tableau, Python, TensorFlow;4;5;10;29/12/2024;27/1/2025;760;5.2;1
AI00014;7;68760;3;3;3;Norway;3;Norway;1;Scala, SQL, Statistics;3;0;11;11/2/2024;25/2/2024;1657;9.1;7
AI00015;4;150122;2;1;4;Sweden;2;Sweden;3;PyTorch, Python, Data Visualization, GCP;1;6;4;2/10/2024;26/11/2024;1466;9.8;13
AI00016;3;78846;3;1;3;United Kingdom;1;Israel;1;Linux, Statistics, Deep Learning;4;0;12;28/9/2024;26/10/2024;2059;9.6;2
AI00017;18;59823;1;4;1;India;1;India;3;Tableau, NLP, Spark;2;1;12;6/2/2025;26/3/2025;1200;5.8;3
AI00018;14;181139;3;3;1;France;1;France;3;MLOps, PyTorch, Azure;1;15;13;24/4/2024;3/6/2024;2142;8.7;2
AI00019;10;155300;1;2;4;Singapore;2;Singapore;1;Git, Hadoop, R, Python, Spark;1;9;14;30/4/2024;29/5/2024;589;8.6;2
AI00020;19;93851;3;2;3;Netherlands;1;Germany;3;Java, Scala, NLP, Docker, Computer Vision;4;4;8;1/5/2024;2/7/2024;1809;6.7;6
AI00021;10;134197;3;2;4;Norway;2;France;1;Deep Learning, AWS, Azure;2;3;1;21/6/2024;28/8/2024;969;9.6;14
AI00022;7;102550;1;3;1;United States;2;United States;1;Tableau, Spark, NLP, TensorFlow, PyTorch;2;2;1;23/4/2024;23/6/2024;625;10;5
AI00023;16;99382;3;2;3;Germany;3;Germany;1;Hadoop, Git, Tableau;4;7;8;13/3/2025;11/5/2025;1629;6.9;2
AI00024;3;52167;3;2;3;Austria;2;Ireland;3;Git, Hadoop, Docker;3;4;5;7/6/2024;24/6/2024;2298;9.3;7
AI00025;16;53923;3;3;4;China;3;China;1;AWS, Azure, Git, SQL, Computer Vision;2;2;7;27/10/2024;18/11/2024;1006;7.4;16
AI00026;20;109779;3;2;1;Israel;1;Israel;3;Linux, Git, Tableau, Kubernetes, Data Visualization;4;6;2;1/8/2024;2/10/2024;1146;8.8;13
AI00027;16;80979;3;2;4;Australia;3;India;2;Hadoop, Linux, Git, Scala;3;2;7;18/11/2024;18/1/2025;2109;7.7;6
AI00028;9;52997;3;1;1;Austria;2;Singapore;1;Mathematics, Kubernetes, TensorFlow, Tableau, PyTorch;4;2;5;10/1/2025;20/2/2025;2101;8.6;10
AI00029;13;42819;3;2;1;Ireland;2;Ireland;2;Python, Scala, NLP, Mathematics, Git;4;0;15;8/10/2024;20/11/2024;2187;8.6;1
AI00030;16;82083;1;1;3;Israel;1;Israel;3;Azure, Python, Computer Vision, Kubernetes, TensorFlow;3;2;15;18/1/2024;25/2/2024;1212;6.3;5
AI00031;13;67488;3;1;3;Netherlands;2;Netherlands;3;Deep Learning, GCP, AWS, Linux, Tableau;3;1;12;16/5/2024;26/7/2024;887;6;6
AI00032;19;68624;3;3;3;Denmark;2;Denmark;1;Azure, Python, Spark;3;1;12;31/1/2024;8/3/2024;1910;9.2;13
AI00033;20;146852;3;4;2;Switzerland;3;Switzerland;2;NLP, Scala, Python;4;7;3;28/8/2024;20/9/2024;684;5.3;15
AI00034;16;178183;3;3;2;Finland;2;Finland;1;Tableau, Azure, GCP, Linux, Python;1;16;4;1/3/2024;19/3/2024;1850;5.7;4
AI00035;12;150864;3;4;1;Sweden;1;Singapore;1;R, GCP, MLOps, Linux;4;8;13;26/10/2024;25/12/2024;1504;7.9;16
AI00036;13;126942;3;2;4;Finland;1;Netherlands;1;Git, Hadoop, Data Visualization;1;10;8;31/1/2024;26/2/2024;1261;9.9;4
AI00037;1;53752;3;4;1;Japan;2;Japan;3;Data Visualization, Tableau, AWS, Mathematics, Python;1;2;7;17/10/2024;12/11/2024;998;6.1;10
AI00038;20;111381;3;1;4;Israel;3;Israel;1;Linux, PyTorch, SQL, Statistics;3;18;5;14/1/2024;12/3/2024;1030;8.1;8
AI00039;6;41430;1;4;2;China;2;China;2;Tableau, Docker, GCP;2;1;7;15/6/2024;29/7/2024;2323;8;7
AI00040;10;166080;3;2;3;Netherlands;1;Netherlands;3;Computer Vision, Azure, Tableau;1;15;8;1/3/2024;1/5/2024;831;5.1;7
AI00041;11;96956;3;3;2;United States;2;China;1;Data Visualization, Azure, Spark, MLOps;2;2;13;24/2/2024;9/3/2024;761;5.3;14
AI00042;1;196954;3;1;4;United States;1;United States;2;Java, Mathematics, SQL;2;8;8;17/3/2025;16/4/2025;2290;7.5;2
AI00043;6;56745;3;3;3;Finland;1;Finland;3;Spark, Mathematics, GCP;1;1;15;1/2/2025;11/4/2025;502;5.5;10
AI00044;15;113455;1;3;4;Singapore;2;Singapore;2;Hadoop, Docker, Python, Azure;1;8;2;24/4/2024;12/6/2024;1281;8;8
AI00045;16;158808;3;3;1;Netherlands;2;Netherlands;2;Docker, R, Linux;2;5;2;3/3/2025;3/5/2025;1926;7.4;14
AI00046;4;174663;3;1;1;United States;2;Singapore;2;Data Visualization, Statistics, R;1;7;9;10/1/2024;22/3/2024;1151;5.4;16
AI00047;4;46753;3;2;2;India;3;India;2;Scala, Java, Tableau;4;1;10;16/11/2024;18/12/2024;2012;9.7;6
AI00048;5;69020;3;4;4;China;1;China;1;Java, Azure, GCP;2;4;9;5/9/2024;25/10/2024;1584;8.8;4
AI00049;6;288815;3;4;2;Switzerland;3;Switzerland;1;Deep Learning, Git, Data Visualization, Linux, Java;2;12;2;8/8/2024;23/9/2024;1930;7.2;16
AI00050;2;124871;1;2;3;Austria;2;Finland;2;Hadoop, AWS, Linux, Docker, Statistics;4;19;7;10/3/2025;17/5/2025;1556;8;4
AI00051;1;70391;3;4;3;Germany;3;Germany;1;Deep Learning, SQL, Mathematics;4;4;11;16/8/2024;19/10/2024;1974;9.2;6
AI00052;19;115376;3;2;4;India;2;India;3;Linux, R, Azure, Mathematics, Git;3;17;6;12/3/2024;14/4/2024;2028;5.5;7
AI00053;19;106579;3;3;4;United States;3;United States;3;Docker, Tableau, Mathematics;1;3;4;24/2/2024;2/5/2024;2028;5.4;14
AI00054;11;135230;3;2;4;Norway;3;Norway;3;R, PyTorch, Kubernetes, Computer Vision;4;8;2;7/7/2024;9/9/2024;1219;7.5;4
